year,nominal_k,real_2026_k,width_%
2015,130.0,181.48994379034875,36.36363636363637
2016,120.0,165.43255199349423,48.913043478260875
2017,120.0,161.98003668159225,50.0
2018,125.0,164.71188285349606,50.0
2019,125.0,161.7784216740939,50.0
2020,140.0,178.94970461347683,50.0
2021,141.75,173.08408912190345,50.0
2022,150.0,169.60493956641207,50.0
2023,165.0,179.17110854082264,42.857142857142854
2024,165.0,174.033450261523,39.39393939393939
2025,180.0,184.98170490201167,37.5
2026,185.0,185.0,37.5
