month,0
2011-04,218
2011-05,216
2011-06,254
2011-08,229
2011-09,190
2011-10,195
2011-11,230
2011-12,1
2012-01,148
2012-02,201
2012-03,248
2012-04,201
2012-05,230
2012-06,226
2012-07,189
2012-08,244
2012-09,212
2012-10,247
2012-11,219
2012-12,229
2013-01,191
2013-02,217
2013-03,289
2013-04,343
2013-05,318
2013-06,261
2013-07,288
2013-08,306
2013-09,238
2013-10,423
2013-11,296
2013-12,262
2014-01,222
2014-02,328
2014-03,336
2014-04,353
2014-05,407
2014-06,343
2014-07,418
2014-08,477
2014-09,279
2014-10,351
2014-11,340
2014-12,463
2015-01,271
2015-02,493
2015-03,505
2015-06,586
2015-07,835
2015-08,785
2015-09,699
2015-10,620
2015-11,701
2015-12,358
2016-01,372
2016-02,648
2016-03,665
2016-04,593
2016-05,666
2016-06,772
2016-07,686
2016-08,736
2016-09,642
2016-10,784
2016-11,838
2016-12,633
2017-01,614
2017-02,940
2017-03,785
2017-04,711
2017-05,829
2017-06,730
2017-07,756
2017-08,722
2017-09,779
2017-10,884
2017-11,904
2017-12,776
2018-01,663
2018-02,788
2018-03,866
2018-04,840
2018-05,972
2018-06,761
2018-07,733
2018-08,867
2018-09,691
2018-10,894
2018-11,860
2018-12,756
2019-01,765
2019-02,692
2019-03,747
2019-04,740
2019-05,816
2019-06,660
2019-07,757
2019-08,727
2019-09,607
2019-10,718
2019-11,626
2019-12,584
2020-01,574
2020-02,579
2020-03,644
2020-04,457
2020-05,500
2020-06,506
2020-07,538
2020-08,641
2020-09,600
2020-10,710
2020-11,692
2020-12,685
2021-01,703
2021-02,937
2021-03,903
2021-04,876
2021-05,843
2021-06,966
2021-07,878
2021-08,833
2021-09,897
2021-10,770
2021-11,942
2021-12,738
2022-01,661
2022-02,800
2022-03,784
2022-04,743
2022-05,756
2022-06,723
2022-07,523
2022-08,631
2022-09,503
2022-10,456
2022-11,524
2022-12,481
2023-01,364
2023-02,436
2023-03,406
2023-04,353
2023-05,342
2023-06,331
2023-07,306
2023-08,344
2023-09,296
2023-10,321
2023-11,362
2023-12,314
2024-01,278
2024-02,342
2024-03,300
2024-04,291
2024-05,398
2024-06,341
2024-07,380
2024-08,325
2024-09,304
2024-10,330
2024-11,318
2024-12,330
2025-01,276
2025-02,396
2025-03,354
2025-04,308
2025-05,301
2025-06,361
2025-07,333
2025-08,307
2025-09,300
2025-10,341
2025-11,394
2025-12,379
2026-01,258
2026-02,415
2026-03,322
2026-04,334
2026-05,327
2026-06,318
2026-07,273
